S. No.,Entity,Logo,HQ,Domain,Description,Map Bucket 1,Map Bucket 2,Relevance Flag (Y/N),Sub Bucket,Tools/Products
25,Movement,,United Kingdom,https://www.yourmovement.org/,"Digital campaigning platform: CRM + email, SMS, WhatsApp, peer-to-peer, phone-banking for unions, NGOs and political groups",Volunteer Mobilisation,Voter Engagement,Y,,
26,Mailchimp,,United States,https://mailchimp.com/,"Email marketing platform; email automation, audience segmentation, landing pages, SMS integrations, analytics for nonprofits, small businesses, advocacy groups",Media & Messaging,,Y,Email and Automation,
27,International Republican Institute,,United States,https://www.iri.org/,"Democracy-support & political-process strengthening: party training, voter education, election monitoring, civic engagement",Organisational Infrastructure,,Review,Party Training Network,
28,ContactDrive,,United States,https://www.contactdrive.io/,"CRM / contact-management platform designed for advocacy groups, political campaigns and nonprofit mobilization",Volunteer Mobilisation,Voter Engagement,Review,,
29,ShowTime Consulting,,India,,,,,N,,
30,Boston Consulting Group,,,,,,,N,,
31,TikTok,,China,https://www.tiktok.com/about?lang=en,Short-form video social media platform; user-generated content; influencer & content ecosystem; digital advertising & audience reach,Media & Messaging,,Y,,
32,Polit - X,,Germany,https://polit-x.de/en/,"Political monitoring & data platform: tracks federal/state/EU legislation, stakeholders, municipal data; provides alerts, analytics, search of public political documents",Data Analytics and Modeling,,Y,,
33,wahl.chat,,Germany,https://wahl.chat/,AI-powered chat tool that allows users to ask parties’ programmes questions and compare political positions,Participation Tech,,Review,,
34,Political Watch,,Spain,https://politicalwatch.es/,"Civic-tech and advocacy organisation: developing tech for citizen oversight, open data, transparency & democratic participation",Civic Tech,,Y,Participation Tech?,
35,Say No To Disinfo,,United Kingdom,https://www.saynotodisinfo.com/,Evidence-informed counter-disinformation consultancy & tool-support: mining research studies + AI for narrative threat detection & response,Media & Messaging,,Y,Information Integrity / Disinformation,
36,Acquia,,United States,https://www.acquia.com/,"Digital experience platform: cloud-hosting, CMS/Drupal, content/data management, campaign/marketing automation, personalization for large institutions",Organisational Infrastructure,,Y,,
37,Beta - i,,Portugal,https://beta-i.com/,"Innovation consultancy specialising in open innovation, ecosystem building, corporate-startup programmes, and digital transformation",Organisational Infrastructure,,N,,
38,Evens Foundation,,Belgium,,,,,N,,
39,BWDV,,Germany,,,,,N,,
40,EuroSense,,Belgium,https://www.eurosense.eu/,"Europe-wide citizen science network using a tool called SenseMaker® to collect and analyse lived citizen experiences (stories) for policy makers, activists and governments — enabling more inclusive democratic engagement",Research,Participation Tech,Y,,
41,Otto Group,,Germany,,,,,N,,
42,Friedrich-Ebert-Stiftung (FES),,Germany,https://www.fes.de/,"Political foundation promoting democracy, social justice, civic education, research & international cooperation",,,N,,
43,European AI & Society Fund,,Belgium,https://europeanaifund.org/,"Philanthropic fund that supports civil society organisations across Europe to shape AI policy, monitor AI systems, and ensure AI serves people and society",,,N,,
44,Trollrensics,,Netherlands,https://www.trollrensics.com/,Disinformation-forensics: software to track troll/fake-account networks on social media + research into coordinated campaigns,Media & Messaging,,Y,Information Integrity / Disinformation,
45,Projekt: Polska,,Poland,https://projektpl.org/en/,"Think-tank / civic organization focused on public policy solutions (digitisation, family policy, state efficiency) in Poland",Research,,N,,
46,Eulytix,,Hungary,https://eulytix.eu/,"Big-data platform for European legislative amendments; tracks EU parliamentary activity, provides analytics for NGOs, researchers and lobbyists",Data Analytics and Modeling,,Y,Regulatory & Legislative Intelligence,
47,National Democratic Institute (NDI),,United States,https://ndi.org/,"Global democracy-support NGO: strengthening democratic institutions, civic participation, election monitoring, political party support, digital rights",Organisational Infrastructure,,N,,
48,ZEIT Stiftung Ebelin und Gerd Bucerius,,Germany,https://zeit-stiftung.de/,"Supports research & scholarship, journalism, civil society debate, education & culture; promotes civil society, media freedom and democratic discourse",,,N,,
49,Digiknall GmbH,,Austria,https://www.digiknall.eu/,Social media campaigning agency,Media & Messaging,,Y,,
50,eKairos,,Germany,https://ekairos.net/,"Civic-tech / digital participation platform enabling large-scale, hybrid/asynchronous citizen engagement and bottom-up processes; uses AI to surface patterns and insights",Participation Tech,,Y,,
51,Indian Political Action Committee,,,,,,,N,,
52,Higher Ground Labs,,United States,,,,,N,,
53,SocialHub,,Germany,https://socialhub.io/en/,"Social media management platform - unified inbox (comments/mentions across channels), content planner, analytics, campaign-posting",Media & Messaging,,Review,,
54,HubSpot,,United States,https://www.hubspot.com/,"All-in-one inbound marketing, sales and service CRM platform; includes marketing automation, social media management, data hub, content hub and AI enhancements",Media & Messaging,,Y,Marketing & Outreach,
55,UpVote,,United States,https://up-vote.org/,"Campaign outreach tool: peer-to-peer voter/volunteer mobilization, relational organising, CRM for campaigns",Volunteer Mobilisation,Voter Engagement,Review,Marketing & Outreach,
56,Change.org,,United States,https://www.change.org/,"Online petition platform enabling citizens to launch campaigns, mobilise support, and influence decision-makers globally",Participation Tech,,Y,,
57,Oracle,,,,,,,N,,
58,Anthropic,,,,,,,N,,
59,Fortitude,,Germany,https://www.fortitude-info.com/,"Disinformation defence consultancy (assessment, strategy, training; public & private sector)",,Information Integrity / Disinformation,Review,,
60,Appinio,,Germany,https://www.appinio.com/en/,"AI-powered market-research platform: real-time surveys, insights from millions of respondents across many markets",Research,,Y,,
61,365 Sherpas,,Germany & Belgium,https://365sherpas.com/en/home-2,"Corporate affairs & policy advice: public affairs, lobbying, advocacy, campaign-communications, stakeholder dialogue",Media & Messaging,,N,,
62,Aaru,,United States,https://aaru.com/,AI-powered predictive modelling platform: simulates voter/opinion behavior through multi-agent systems and synthetic data,Data Analytics and Modeling,,Review,,
63,Datack,,France,https://datack.com/,"Campaign & mobilisation consultancy (digital/PR agency for advocacy, electoral campaigns)",Voter Engagement,Volunteer Mobilisation,Y,,
64,Policy Insider AI,,Germany,https://policy-insider.ai/,AI-powered real-time policy monitoring & public affairs intelligence platform,Research,GovTech,Y,Regulatory & Legislative Intelligence,
65,Prismos,,Belgium,https://prismos.ai/,"AI-driven regulatory & public-policy monitoring platform: tracks reports, debates and agendas across jurisdictions, provides personalised policy intelligence",Research,GovTech,Y,Regulatory & Legislative Intelligence,
66,Scale to Win,,United States,https://www.scaletowin.com/,"All-in-one texting and calling platform built for grassroots organizing, volunteer mobilization, fundraising and campaign outreach",Volunteer Mobilisation,Voter Engagement,Review,,
67,Bits & Pretzels,,,,,,,N,,
68,HaiX AI,,United Kingdom,https://www.haix.ai/lander,"AI-powered social & media listening + risk/intelligence platform for brands & campaigns; monitors sentiment, narratives, emerging risks",Research,Media & Messaging,Review,,
69,Voatz,,United States,https://voatz.com/,"Mobile/blockchain voting platform for elections, remote/overseas voting, ballots via smartphone/web",Voting Tech,,Y,,
70,Estratos,,Austria,https://www.estratos.eu/,"Tools and services (messaging, data, micro-fundraising, CRM) for political parties, NGOs and advocacy groups",Voter Engagement,Volunteer Mobilisation,Y,Marketing & Outreach,WinWithMe Direct Messaging Software
71,The Blue Owl Group,,United Kingdom,,,,,N,,
72,Enquire AI,,United States,https://www.enquire.ai/,AI-powered research & expert-network platform,Research,,Review,,
73,Arena,,United States,https://arena.run/,Campaign training & staffing,,,N,,
74,Cygnal,,United States,https://www.cygn.al/,"Political polling, public-opinion research, voter modelling & campaign-analytics",Research,Data Analytics and Modeling,Y,,
75,PoliMonitor,,United Kingdom,https://www.polimonitor.com/,"Real-time political monitoring & media/lobby-intelligence platform: tracks parliamentarians, debates, social & traditional media across multiple countries",Research,Regulatory & Legislative Intelligence,Y,,
76,deliberAIde,,Germany,https://www.deliberaide.com/,"AI-powered platform for facilitating deliberative dialogue (in-person, online, hybrid); includes transcription, anonymisation, clustering of ideas, insight reporting",Participation Tech,,Y,,
77,Battleground AI,,United States,https://www.battlegroundai.com/,"AI-generated political advertising (copy, creative workflow) for campaigns/agencies",Media & Messaging,,Y,,
78,Swayable,,United States,https://www.swayable.com/,Randomized controlled trials (RCTs) of creative and messaging to measure how content changes opinions,Media & Messaging,,Review,,
79,OpSci.ai,,France,https://www.opsci.ai/fr,"AI-driven narrative & public-opinion analysis: collecting open/social data, mapping narratives, detecting informational risks and advising organisations",Research,,Y,,
80,pollytix strategic research GmbH,,Germany,https://pollytix.de/,"Polling, political and social opinion research & strategic consulting",Research,,Review,,
81,LogiVote,,Israel,https://www.logivote.com/,"Campaign-management & digital voting platform: includes VRM (Voter Relationship Management), digital e-voting apps",Voting Tech,Voter Engagement,Y,,
82,Policylead,,Germany,https://www.policylead.eu/,"Policy-monitoring & media analysis platform: tracks German & EU legislation, stakeholders; offers alerts, dossiers, media monitoring",Research,Regulatory & Legislative Intelligence,N,,
83,Avantari Technologies,,India,,,,,N,,
84,Electica,,Ireland,https://electica.io/,"Digital targeting & advertising platform for progressive campaigns; self-serve tool “Advocate” for campaigners; multi-channel ad buy, audience targeting, compliance in Europe",Media & Messaging,,Y,,
85,Sepherin,,Germany,,,,,Review,,
86,SmartRaise,,United Kingdom,https://www.smartraise.net/,"Fundraising software platform: recurring donations, donor retention, automated upgrade workflows, campaign/NGO focused",Fundraising,,Y,,
87,Decision 21,,Czech Republic,https://www.decision21.com/,"Online civic participation platform: supports participatory budgeting, surveys, polls, contests & voting modules for cities, schools & organisations",Participation Tech,DelibTech,Y,,
88,EdgeTheory,,United States,https://edgetheory.com/,"AI-powered narrative intelligence platform: monitors publicly available information (news, social media, blogs), identifies emerging narratives, thematic clusters, supports creation and deployment of aligned messaging",Media & Messaging,,Review,,Launchpad
89,NationBuilder,,United States,https://nationbuilder.com/,"CRM + campaign-platform for political campaigns, advocacy, nonprofits - includes supporter database, websites, outreach, fundraising, volunteer management",Voter Engagement,Volunteer Mobilisation,Y,,
90,JoinPolitics,,Germany,https://www.joinpolitics.org/,"Non-partisan incubator/fellowship for political talent: mentorship, training, seed funding for young or under‐represented candidates",,,N,,
91,Nominee,,Canada,https://www.gonominee.com/,"Online learning/training platform for prospective political candidates: courses on campaigning, EDA management, access to mentors, templates & resources",,,N,,
92,Switchboard,,United States,https://oneswitchboard.com/,"Campaign communication platform: SMS/texting, email outreach, opt-in management, fundraising, supporter engagement",Voter Engagement,Volunteer Mobilisation,Review,,
93,VolunteerMark,,United States,https://www.volunteermark.com/,"Cloud-based volunteer management software for volunteer recruitment, scheduling, tracking, and communication (used by nonprofits, including political campaigns)",Volunteer Mobilisation,,N,,
94,Common Knowledge Co-operative Ltd,,United Kingdom,https://commonknowledge.coop/,"Worker-cooperative of technologists, designers & facilitators who build digital tools & infrastructure for grassroots organising and social movements",Organisational Infrastructure,,Review,,
95,PIABO Communications,,Germany,,,,,N,,
96,Citipo,,France,https://citipo.com/fr,"All-in-one digital platform for activist organisations & campaigns: website builder, CRM for contacts, email/SMS outreach, online surveys/consultations, mobilization & measurement",Volunteer Mobilisation,Voter Engagement,Y,,
97,Fabasoft AG,,Austria,,,,,N,,
98,Zinc Labs,,United States,,,,,N,,
99,mySociety,,United Kingdom,https://www.mysociety.org/,"A civic-tech nonprofit building open-source platforms for citizen engagement, transparency, participatory democracy",Participation Tech,Organisational Infrastructure,Y,,
100,Zelos,,Estonia,https://getzelos.com/,"Volunteer management/mobile app for quick signup, team chat, task coordination, ideal for campaigns, non-profits, grassroots mobilisation",Volunteer Mobilisation,,Y,,
101,Newspeak House,,United Kingdom,https://newspeak.house/,"Independent residential college & innovation hub focused on political technology, civil society, public sector change; offers courses, fellowships and hosts hack nights on campaign technology and democracy",Organisational Infrastructure,,N,,
102,PREVENCY,,Germany,https://prevency.com/,"Offers “simulation and training software” for crisis scenarios, disinformation, cyberattacks, hybrid threats, etc.",Information Integrity / Disinformation,GovTech,Y,,InfoRange®
103,Fedica,,Canada,https://fedica.com/,"Social-media analytics and publishing platform: scheduling across multiple networks, community/follower analytics, segmentation, social listening",Research,Media & Messaging,N,,
104,LDRX,,India,http://ldrx.ai/,AI-powered personal brand management platform for leaders & professionals,,,N,,
105,IQM,,USA,https://iqm.com/,"Programmatic advertising platform / DSP + DMP for regulated industries (political, healthcare, specialty)",Media & Messaging,,Review,,
106,SoSha,,USA,https://www.sosha.ai/,"Platform for creating and managing organic user-generated social-media campaigns; features include AI-powered writing assistant, social share toolkits, analytics for social/volunteer mobilization",Voter Engagement,Media & Messaging,,,
107,Meta,,USA,https://www.meta.com/,"Social-media platforms + advertising network (Facebook, Instagram, WhatsApp) & digital advertising infrastructure",Media & Messaging,,Y,Social Media,
108,CallHub,,USA,https://callhub.io/,"All-in-one campaign outreach & canvassing platform: phone banking, peer-to-peer texting, voice broadcasts, campaign workflows, SMS/voice/email, volunteer mobilisation & CRM integrations",Voter Engagement,Volunteer Mobilisation,Y,Marketing & Outreach,
109,Magic LEMP,,France,https://magic-lemp.com/en,"AI solutions focused on multimodal data (text, audio, image), including tools for monitoring political speech, disinformation and narratives (via its subsidiary “Pluralisme”)",Media & Messaging,,Y,,
110,Dubverse.ai,,India,https://dubverse.ai/,"AI-powered video dubbing, subtitles and multilingual voiceovers for content creators — includes text-to-speech and voice-cloning features",Media & Messaging,,Review,,
111,Sapiens Research,,India,,,,,N,,
112,Assemble The Agency,,USA,https://assembletheagency.com/,"Creative media & communications agency specialising in politics, elections, public affairs and issue campaigns",Media & Messaging,,Review,,
113,Facelift Brand Building Technologies GmbH,,Germany,https://facelift-bbt.com/en/,"A SaaS platform for enterprise social-media management, content planning & publishing, community management, multi-network campaigns, analytics - all within one workspace",Media & Messaging,,Y,Social Media Management,
114,Who Targets Me,,Ireland,https://whotargets.me/en/,"A browser extension + research platform that tracks political ads, targeting and spending by parties/advertisers in online platforms; supports transparency, analysis of digital campaign advertising",Media & Messaging,,Y,Ad Tech,
115,Öykü Dialogue International,,Turkey,,,,,N,,
116,ADIN.AI,,Turkey,https://www.adin.ai,"AI-native platform for enterprise digital advertising: media planning, buying, optimisation across channels",Media & Messaging,,Review,,
117,fxis.ai,,India,https://fxis.ai,"AI/ML services company (Generative AI, NLP, computer vision) serving enterprise clients across industries",,,Review,,
118,Aleph Alpha GmbH,,Germany,https://aleph-alpha.com/,"Develops large language models and generative-AI solutions for enterprises & governments, emphasising European data sovereignty",GovTech,,N,,
119,IDnow GmbH,,Germany,https://www.idnow.io,"Provides digital identity-verification (KYC/AML), e-signatures, document and biometric checks for enterprises",CivicTech,,Y,,
120,polisphere,,Germany,https://www.polisphere.eu/,"Consulting network & ideas-lab for “modern politics”: digital communication, trends, governance",,,N,,
121,Fundly,,United States,https://fundly.com/,"Online crowdfunding and donation platform for nonprofits, causes, individuals",,,Review,,
122,VoterGuard,,United States,https://voterguard.net/,"Cyber-security platform specialising in protection of campaigns, parties and election offices from digital threats.",Organisational Infrastructure,,Review,,
123,AI PWRD Inc.,,Canada,https://www.pwrd.ai/,"AI consulting + product engineering: databases, outreach, embeddings, fine-tuning",Organisational Infrastructure,,Review,,
124,Go Vocal,,Belgium,https://www.govocal.com/,"Digital community engagement & participation platform (surveys, voting, participatory budgeting) for governments/municipalities",Participation Tech,,Y,DelibTech,
125,Make.org,,France,https://make.org/MD,Civic-tech platform enabling large-scale citizen consultation & deliberation; supports public institutions and NGOs to generate ideas & actions,Participation Tech,CivicTech,Y,DelibTech,
126,Delib Ltd,,United Kingdom,https://www.delib.net/,"Provides digital platforms for citizen engagement, consultations, budget simulations and public participation",Participation Tech,CivicTech,Y,DelibTech,Citizen Space/Simulator/Dialogue
127,VerbaAI,,United States,https://verbaai.org/,AI-driven platform for tracking and analysing political speech and information flows,Research,,Review,,
128,Dembrane,,Netherlands,https://www.dembrane.com/en-US,"AI-driven stakeholder-engagement platform capturing live & async dialogue, turning unstructured input into structured insights",Participation Tech,CivicTech,Y,DelibTech,
129,Aristotle Inc.,,United States,https://www.aristotle.com/,"Political-campaign software & data: voter files, fundraising, compliance, analytics",Voter Engagement,Volunteer Mobilisation,Y,,
130,Lunda,,Austria,https://www.lundadonate.org/,Online donation-form & micro-fundraising software built for progressive movements; optimized for EU jurisdictions,Fundraising,,Y,,
131,Chorus AI,,United States,https://www.chorusai.co/,"AI-driven campaign and content platform for nonprofits and progressive campaigns: content creation, media monitoring, multi-channel optimisation",Media & Messaging,,Review,,
132,Fundraise Up,,United States,https://fundraiseup.com/,"Online fundraising platform with AI-powered conversion, modern payment, donor engagement tools",Fundraising,,Y,,
133,Ecanvasser,,Ireland,https://www.ecanvasser.com/,"Field-canvassing & volunteer mobilisation platform: dashboards, mobile apps, walk lists, territory planning for campaigns",Voter Engagement,Volunteer Mobilisation,Y,,
134,Stateless,,Hungary,https://www.statelessworks.com/,Provides technology frameworks for parallel vote tabulation (PVT) and election-incident reporting for democratic monitoring,Voting Tech,,Y,,
135,WildApricot,,Canada,https://www.wildapricot.com/,"Cloud-based all-in-one membership management platform (members, events, payments, website)",Voter Engagement,Volunteer Mobilisation,Review,,
136,Hootsuite,,Canada,https://www.hootsuite.com/,"Social-media management platform: scheduling, listening, analytics, multi-channel content",Media & Messaging,,,Social Media Management,
137,Adyen N.V.,,Netherlands,https://www.adyen.com/,"Global payments platform: accepts online, in-store & mobile payments; handles acquiring, issuing, fraud risk",,,N,,
138,Qomon,,France,https://qomon.com/,"Volunteer & supporter mobilization platform with field-canvassing, CRM, territory analysis",Volunteer Mobilisation,Voter Engagement,Y,Marketing & Outreach,
139,SoundShape,,Netherlands,https://www.soundshape.eu/,"Provides AI-powered real-time subtitling, translation & captioning for events and video content in multilingual contexts.",Media & Messaging,,Y,,
140,Relentless,,United States,https://www.relentless.vote/,"Progressive-organising platform focused on building power via relationships, volunteers and mobilisation (not just data mining)",Voter Engagement,Volunteer Mobilisation,Review,,
141,openPetition,,Germany,https://www.openpetition.eu/,"Online platform for citizens’ initiatives, petitions, signatures and debates aimed at increasing civic participation",Participation Tech,CivicTech,Y,,
142,Comitia,,Spain,https://www.scytl.com/,"Electronic voting, election modernization and results-consolidation systems",Voting Tech,,Y,,
143,Rootcause,,United Kingdom,https://rootcause.global/,,,,N,,
144,ActBlue,,United States,https://www.actblue.com/,Online fundraising platform focused on small-donor contributions for Democratic campaigns and progressive causes,Fundraising,,Review,,
145,Xelentor,,United States,,,,,N,,
146,Lomavis,,Germany,https://www.lomavis.com/,"Social media management platform (posting, analytics, content-cloud) for companies, agencies, brands & parties",Media & Messaging,,,Social Media Management,
147,Democratik,,Canada,,,,,Review,,
148,Atlassian Corporation,,Australia,https://www.atlassian.com/,"Collaboration & productivity software (Jira, Confluence, Trello) for teams globally",Organisational Infrastructure,,Y,,
149,C6 Digital Ltd,,United Kingdom,https://c6digital.io/,"Advocacy-tech & digital mobilisation consultancy - builds bespoke apps, websites, data integrations for campaigns/NGOs",Organisational Infrastructure,,Y,,
150,Participation Factory,,Czech Republic,https://participationfactory.com/,"Consulting and facilitation of citizen participation, data-driven governance & process desig",Participation Tech,,Review,,
151,Blue Rose Research,,United States,,,,,N,,
152,Reset Tech,,United Kingdom,https://www.reset.tech/,Research & advocacy on digital media threats to democracy; builds tools for media/tech oversight,Media & Messaging,,Y,Information Integrity / Disinformation,
153,Civey GmbH,,Germany,https://civey.com/,Digital opinion-research platform offering real-time surveys and analytics,Research,,Review,Opinion Research,
154,CrowdInsights GmbH,,Germany,https://crowdinsights.de/,"SaaS platform for structured citizen participation: surveys, idea-collections, participatory budgets",Participation Tech,CivicTech,Y,DelibTech,
155,Bombe Platform Ltd,,United Kingdom,https://bombe.io/,AI-driven audience and targeting platform: postcode-level consumer modelling & insights,,,Review,,
156,Tectonica,,Spain,,,,,N,,
157,TrollWall AI,,Slovakia,https://www.trollwall.ai/,AI-powered platform for comment/moderation on social media; automated removal of hate speech & toxic comments,Media & Messaging,,Y,Information Integrity / Disinformation,
158,TargetSmart,,United States,https://targetsmart.com/,"Data and analytics platform for political campaigns: voter file, registration dashboards, media-buying integration",Data Analytics and Modeling,,Review,,
159,Hustle,,United States,,"Peer-to-peer (P2P) texting & relational outreach platform used by political campaigns, nonprofits and organizations",,,Review,,
160,Meute,,Netherlands,,,,,N,,
161,Qela,,Ukraine,https://www.qela.app/,"Gamified community-builder SaaS for movements & campaigns: tasks, volunteer engagement, voting, leaderboards",Volunteer Mobilisation,Voter Engagement,Y,,
162,Troop Messenger,,India,https://www.troopmessenger.com/,Secure team-/cadre-messaging and collaboration platform; has a dedicated “Politics / Party Cadre” module,Volunteer Mobilisation,Voter Engagement,Review,,
163,Anedot,,United States,https://www.anedot.com/,"Online fundraising & donation-platform servicing nonprofits, campaigns & churches",,,Review,,
164,ifok GmbH,,Germany,,,,,N,,
165,Civocracy,,Germany,https://www.civocracy.com/,"SaaS platform for citizen engagement: surveys, idea collection, collaborative decision-making & stakeholder dialogue for governments/organisations",Participation Tech,CivicTech,Y,DelibTech,
166,Apropos,,Italy,,,,,N,,
167,Sopra Steria,,France,,,,,N,,
168,Artefact,,France,,"Global data & AI consulting: marketing analytics, transformation, multi-channel campaigns",,,Review,,
169,YouGov,,United Kingdom,https://yougov.com/,"Online panel research, public-opinion polling, data & analytics",Research,,Y,Opinion Research,
170,Digitale Box,,France,https://digitalebox.com/,All-in-one political campaign CRM and Citizen Request Management systems,Participation Tech,GovTech,Y,,
171,CamBuildr,,Austria,https://cambuildr.com/,"All-in-one campaigning SaaS: landing pages, emails, outreach, supporter DB, behaviour segmentation & automation",Voter Engagement,Volunteer Mobilisation,Y,,
172,POLYAS GmbH,,Germany,https://www.polyas.com/,"Secure online-voting platform for legally-binding elections, nominations & live-voting",Voting Tech,,Y,,
173,Justbaat AI,,Singapore,,,,,N,,
174,SAVOIRR,,Switzerland,https://www.savoirr.com/,A legislative-&-stakeholder-monitoring SaaS platform providing real-time EU policy tracking and stakeholder mapping,Research,,Y,Regulatory & Legislative Intelligence,
175,Demosquare,,Switzerland,https://demosquare.com/en/,"AI-powered SaaS platform for monitoring legislation, stakeholder signals & public affairs in Europe",Research,,Y,Regulatory & Legislative Intelligence,
176,Valent Projects Ltd,,United Kingdom,https://valent-projects.com/,"AI-powered narrative monitoring, bot & disinformation detection for communications teams",Media & Messaging,Research,Y,Information Integrity / Disinformation,
177,Sumsub,,United Kingdom,https://sumsub.com/,Global KYC/identity-verification and fraud-compliance SaaS platform,Organisational Infrastructure,,Review,,
178,ActiveFence,,United States,https://www.activefence.com/,"AI-powered trust & safety / content-integrity SaaS: detects disinformation, extremist content, harmful behaviour in real time",Media & Messaging,,Review,Information Integrity / Disinformation,
179,Bully Pulpit International,,United States,,,,,N,,
180,Kertos GmbH,,Germany,https://www.kertos.io/en,"AI-powered compliance automation platform for GDPR, ISO27001, EU AI Act, etc.",Organisational Infrastructure,,Review,,
181,Suffrago,,United Kingdom,https://www.suffrago.org/,"Civic-tech platform enabling anonymous citizen input, constituency data dashboards & legislative tracking for elected officials",Voting Tech,Participation Tech,Y,,
182,Polpo BV,,Netherlands,https://polpo.com/,"AI-powered political monitoring platform: parliament tracking, stakeholder mapping, newsletters",Research,,Y,Regulatory & Legislative Intelligence,
183,Commonplace,,United Kingdom,https://www.commonplace.is/,"Digital citizen engagement & consultation SaaS: collects ideas, feedback, analytics for local governments & infrastructure.",Participation Tech,,Y,,
184,NapoleonCat,,Poland,https://napoleoncat.com/,"All-in-one social-media management platform: publish, schedule, auto-moderate comments, analyze across many channels",Media & Messaging,,Y,Social Media Management,
185,Campaign Nucleus,,United States,https://www.campaignnucleus.com/,"SaaS platform for campaign management: voter CRM, outreach, fundraising, events, analytics",Voter Engagement,Volunteer Mobilisation,Review,,
186,Numinar,,United States,https://www.numinar.com/,AI-powered campaign software: all-in-one voter data + CRM + canvassing + texting + modeling platform,Voter Engagement,Volunteer Mobilisation,Review,,
187,Change Agent AI,,United States,https://thechange.ai/,Generative-AI platform for advocacy & campaigns: creates branded AI agents for mission-driven orgs,Media & Messaging,Organisational Infrastructure,Review,,
